39177559		10.1016/j.jcin.2024.07.012	JACC Cardiovasc Interv	2024	Fang	Mechanical Circulatory Support-Assisted Percutaneous Rescue of Ventricularly Embolized Transcatheter Heart Valve.
38573255		10.1016/j.jcin.2024.01.311	JACC Cardiovasc Interv	2024	Dakroub	Transcatheter Aortic Valve Embolization Complicated by Inversion and Left Ventricular Outflow Tract Obstruction.
32473885		10.1016/j.jcin.2020.04.030	JACC Cardiovasc Interv	2020	Kadoya	Multiple Small Bowel Perforations Associated With Cholesterol Crystal Embolization After Transcatheter Aortic Valve Replacement.
32305390		10.1016/j.jcin.2020.02.010	JACC Cardiovasc Interv	2020	Piayda	Delivery Catheter Capsule Demolition During the Deployment of a Medtronic CoreValve Evolut R.
32061606		10.1016/j.jcin.2019.12.009	JACC Cardiovasc Interv	2020	So	The "Snare-and-Anchor" Technique to Rescue Frozen Mechanical Mitral Valve Leaflet After Transcatheter Aortic Valve Replacement.
32113926		10.1016/j.jcin.2019.12.016	JACC Cardiovasc Interv	2020	Sulimov	Bailout Bleeding Management for Large-Bore Access: Initial Experience With a Novel Technique.
31883722		10.1016/j.jcin.2019.08.053	JACC Cardiovasc Interv	2020	Ninomiya	Corroborative Autopsy Findings for Current Concerns After Implantation of Self-Expandable Transcatheter Heart Valve.
31564595		10.1016/j.jcin.2019.08.027	JACC Cardiovasc Interv	2020	Ihdayhid	Complicated Interaction Between Balloon Expandable Sheath and Self-Expanding Aortic Bioprosthesis.
31473235		10.1016/j.jcin.2019.05.031	JACC Cardiovasc Interv	2019	Hernández-Enríquez	Use of an Arteriovenous Loop to Facilitate Transcatheter Aortic Valve Alignment in a Patient With Giant Ascending Aortic Aneurysm.
31377267		10.1016/j.jcin.2019.04.050	JACC Cardiovasc Interv	2019	Sakurai	Fatal Leaflet Thrombus Following Transcatheter Aortic Valve Replacement During Temporary Anticoagulation Withdrawal.
31255558		10.1016/j.jcin.2019.04.025	JACC Cardiovasc Interv	2019	Kaneko	Valsalva Sinus Perforation Following Valve Dislodgement During Transcatheter Aortic Valve Replacement.
31255557		10.1016/j.jcin.2019.04.044	JACC Cardiovasc Interv	2019	Ochiai	Late Contained Aortic Root Rupture After Transcatheter Aortic Valve Replacement for Bicuspid Aortic Stenosis.
